;Periods;calBC/AD;calBP
m1;Early Mesolithic;8900-8200 BC;10900-10200
m2;Middle Mesolithic;8200-6200 BC;10200-8200
m3;Late Mesolithic;6200-5100 BC;8200-7100
n1;Early Neolithic;5100-3900 BC;7100-5900
n2;Middle Neolithic;3900-2900 BC;5900-4900
n3;Late Neolithic;2900-2400 BC;4900-4400
n4;Final Neolithic;2400-1900 BC;4400-3900
p1;Early Bronze Age;1900-1000 BC;3900-3000
p2;Late Bronze Age;1000-400 BC;3000-2400
r1;Early Iron Age;400BC-800AD;2400-1200
r2;Late Iron Age and Early Medieval Period;800-1500 AD;1200-500
