Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;;p;i;z;Category;Type;Subtype;Type (Finnish);Subtype (Finnish);Certainty;Preroman IA;Early Roman IA;Late Roman IA;Migration period;Merovingian period;Viking period;Crusade period;1100-1300;1400-1500;Settlement site;Cremation cemetery;Inhumation cemetery;Cairn;Stray find;Hoard;Other context;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);;;;;;;;;;;;;;;Photo ID
IA;1000000118;Laitila;Soukainen;KM;22020;17;;6767800;3212340;15;Beads;Glass bead;Glass bead;Lasimassahelmi;;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;10;6;;;;;7;;;;;;;;;;;;;;;KM 22020_17
IA;1000000130;Laitila;Kuivala/Hällynen;KM;23085;9;;6768200;3212490;17,5;Beads;Bronze bead;Bronze bead (serial);Pronssihelmi;Sarjahelmi;1;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;11;6;6;;;;Pistekoristelut. Aika hyvin säilynyt. Jos samasta kuin merovingiaikaiseksi arveltu esinesikermä niin olisi merovingiaikainen.;;;;;;;;;;;;;;;KM 23085_9
IA;1000000130;Laitila;Kuivala/Hällynen;KM;23085;14;;6768200;3212490;17,5;Beads;Glass bead;Glass bead;Lasimassahelmi;;1;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;11;7;;;;;Punainen/oranssi, huonokuntoinen, ollut tulessa;;;;;;;;;;;;;;;KM 23085_14
IA;1000000130;Laitila;Kuivala/Hällynen;KM;23085;15;;6768200;3212490;17,5;Beads;Glass bead;Glass bead (serial);Lasimassahelmi;Sarjahelmi;2;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;On niin sulanut, että vaikea sanoa onko alkujaan kaksoishelmi vai kasi yhteensulanutta. Sininen.;;;;;;;;;;;;;;;KM 23085_15
IA;1000000130;Laitila;Kuivala/Hällynen;KM;23085;8;;6768200;3212490;17,5;Beads;Bronze bead;Bronze bead (serial);Pronssihelmi;Sarjahelmi;1;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;36;8;8;;;;Pistekoristelut. Aika hyvin säilynyt. Jos samasta kuin merovingiaikaiseksi arveltu esinesikermä niin olisi merovingiaikainen.;;;;;;;;;;;;;;;KM 23085_8
IA;1000000171;Laitila;Kylämäki;KM;16312;80;;6764470;3210650;15;Beads;Glass bead;Melon glass bead;Lasimassahelmi;Melonihelmi;1;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;8;;;;;;;;;;;;;;;;;;KM 16312_80
IA;1000000171;Laitila;Kylämäki;KM;16312;95;;6764470;3210650;15;Beads;Glass bead;Glass bead;Lasimassahelmi;;1;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;9;6;;;;;Savihelmen värinen, mutta hieman painavampi. Mattapintainen ja tiivis, kellanoranssi, samanlaisen puolikas alanrolla 178;;;;;;;;;;;;;;;KM 16312_95
IA;1000000171;Laitila;Kylämäki;KM;16312;372;;6764470;3210650;15;Beads;Bronze bead;Bronze bead;Pronssihelmi;;1;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;9;10;;;;;Sisältä ontto;;;;;;;;;;;;;;;KM 16312_372
IA;1000000171;Laitila;Kylämäki;KM;16312;3;;6764470;3210650;15;Beads;Glass bead;Glass bead;Lasimassahelmi;;1;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;11;7;;;;;Himmeä, mattapintainen massa, vastaava puolikas alanrolla 19, vastaavia kokonaisia alanroilla  87 ja 98 ja 177 ja 369 ja 370;;;;;;;;;;;;;;;KM 16312_3
IA;1000000181;Laitila;Rukoushuone-Kansakoulunmäki;KM;17793;1;;6763629;3212587;20;Beads;Bronze bead;Bronze bead (serial);Pronssihelmi;Sarjahelmi;1;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;19;6;;;;;fasetoidut helmet, joissa häränsilmäleimoja;;;;;;;;;;;;;;;KM 17793_1
IA;1000000181;Laitila;Rukoushuone-Kansakoulunmäki;KM;17793;26;;6763629;3212587;20;Beads;Glass bead;Glass bead;Lasimassahelmi;;1;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;10;7;;Puolikas punaisesta lasimassahelmest';;;;;;;;;;;;;;;KM 17793_26
IA;1000000181;Laitila;Rukoushuone-Kansakoulunmäki;KM;17793;2;;6763629;3212587;20;Beads;Glass bead;Glass bead;Lasimassahelmi;;2;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;9;6;;;;;Tiilenpunainen/oranssi lasimassahelmi vai savihelmi? Pinta mattamainen mutta salamavalossa kiiltävä, näkyy punaisia kohtia;;;;;;;;;;;;;;;KM 17793_2
IA;1000002253;Mikkeli;Konnunsuo;KM;19128;9;;6837140;3514600;86;Beads;Stone bead;Rock crystal bead;Kivihelmi;Vuorikristallihelmi;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;13;12;;;;;Kirkas, pyöreä. Rautakautinen?? Löytynyt Annilan pellolta;;;;;;;;;;;;;;;KM 19128_9
IA;1000005621;Laitila;Kaukola Kotiranta 2;KM;15101;1;;6766839;3212086;15;Beads;Enamel bead;Enamel bead;Emalihelmi;;1;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;16;16;;;;;emalihelmi;;;;;;;;;;;;;;;KM 15101_1
IA;1000016620;Pirkkala;Tanila;KM;15834;1;;6821835;3317997;82,5;Beads;Stone bead;Carnelian bead;Kivihelmi;Karneolihelmi;2;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;18;14;;;;;Palanut;;;;;;;;;;;;;;;KM 15834_1
IA;109010031;Hämeenlinna;Varikkoalue 3;KM;21188;1288;;6768147;3364470;86;Beads;Glass bead;Glass bead;Lasimassahelmi;;1;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;16;11;6;Kappale kierretystä kuviollisesta helmestä. Sinine, raidallista leveää nauhaa tai viivaa, joka keltaista ja sinisillä poikkiraidoilla;;;;;;;;;;;;;;;KM 21188_1288
IA;109010031;Hämeenlinna;Varikkoalue 3;KM;21188;1048;;6768147;3364470;86;Beads;Glass bead;Glass bead;Lasimassahelmi;;1;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;6;4;;;;;Sininen, osittain sulanut;;;;;;;;;;;;;;;KM 21188_1048
IA;109010031;Hämeenlinna;Varikkoalue 3;KM;21188;1379;;6768147;3364470;86;Beads;Glass bead;Glass bead;Lasimassahelmi;;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;7;5;;;;;Punainen;;;;;;;;;;;;;;;KM 21188_1379
IA;109010031;Hämeenlinna;Varikkoalue 3;KM;21188;1424;;6768147;3364470;86;Beads;Clay bead;Clay bead;Savihelmi;;1;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;7;4;;;;;Rengasmainen savihelmi, kuten 1420b;;;;;;;;;;;;;;;KM 21188_1424
IA;109010031;Hämeenlinna;Varikkoalue 3;KM;21188;249;;6768147;3364470;86;Beads;Clay bead;Clay bead (serial);Savihelmi;Sarjahelmi;1;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;9;7;;;;;Kaksoishelmen näköiseksi tehty pitkulainen savihelmi.;;;;;;;;;;;;;;;KM 21188_249
IA;109010031;Hämeenlinna;Varikkoalue 3;KM;21188;687;;6768147;3364470;86;Beads;Glass bead;Glass bead;Lasimassahelmi;;1;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;Sulanut. Ehkä alunperinkin litteä. Keltainen, kolme punaista pistettä.;;;;;;;;;;;;;;;KM 21188_687
IA;109010031;Hämeenlinna;Varikkoalue 3;KM;21188;147;;6768147;3364470;86;Beads;Glass bead;Glass bead (eye bead);Lasimassahelmi;Silmähelmi;1;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;Sulanut. Musta, valkoiset juovat, silmässä turkoosi keskus ja punainen reuna;;;;;;;;;;;;;;;KM 21188_147
IA;109010031;Hämeenlinna;Varikkoalue 3;KM;21188;695;;6768147;3364470;86;Beads;Glass bead;Glass bead;Lasimassahelmi;;1;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;Keltainen. Puolikas. Segmentoitu varras.;;;;;;;;;;;;;;;KM 21188_695
