Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;Category;Type;Subtype;Type (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Preroman IA;Early Roman IA;Late Roman IA;Migration period;Merovingian period;Viking period;Crusade period;1100-1300;1400-1500;Settlement site;Cremation cemetery;Inhumation cemetery;Stray find;Cairn;Hoard;Other context;Other notes (Finnish);;Photo ID
IA;291010007;Kuhmoinen;Päijälän Linnavuori;;22029;1;6837283;3404482;140;Iron artefact;Iron spearhead;Petersen M type iron spearhead;"Keihäänkärki; Petersen M";1;TRUE;442;56;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Palopatinaa. Tosi iso.;; 22029_1
IA;291010007;Kuhmoinen;Päijälän Linnavuori;;22029;1;6837283;3404482;140;Iron artefact;Iron spearhead;Petersen M type iron spearhead;"Keihäänkärki; Petersen M";1;TRUE;442;56;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Palopatinaa. Tosi iso.;; 22029_1
IA;283010003;Hollola;Santahaudanmäki;;22079;2;6770569;3399433;135;Iron artefact;Iron spearhead;Petersen G type iron spearhead;"Keihäänkärki; Petersen G";0;TRUE;200;;;;;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Lähinnä g-tyyppiä, taivutettu, vasarointijälkiä putken päässä, kuparia putkessa? Hopealevyä - ei koristelua??? Palopatinaa lehdessä???;; 22079_2
IA;283010003;Hollola;Santahaudanmäki;;22079;2;6770569;3399433;135;Iron artefact;Iron spearhead;Petersen G type iron spearhead;"Keihäänkärki; Petersen G";0;TRUE;200;;;;;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Lähinnä g-tyyppiä, taivutettu, vasarointijälkiä putken päässä, kuparia putkessa? Hopealevyä - ei koristelua??? Palopatinaa lehdessä???;; 22079_2
IA;283010003;Hollola;Santahaudanmäki;;22079;3;6770569;3399433;135;Iron artefact;Iron spearhead;Petersen G type variant iron spearhead;"Keihäänkärki; Petersen G variantti";2;TRUE;165;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;G-tyypin variantti? Taivutettu.;; 22079_3
IA;283010003;Hollola;Santahaudanmäki;;22079;3;6770569;3399433;135;Iron artefact;Iron spearhead;Petersen G type variant iron spearhead;"Keihäänkärki; Petersen G variantti";2;TRUE;165;;;;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;G-tyypin variantti? Taivutettu.;; 22079_3
IA;283010003;Hollola;Santahaudanmäki;;22079;4;6770569;3399433;135;Iron artefact;Iron spearhead;Petersen G type variant iron spearhead;"Keihäänkärki; Petersen G variantti";2;TRUE;;;;;;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Taivutettu, taitekohdassa hieman puujäänteitä, syyt poikittain!!!!!!!!!! Kärki puuttuu;; 22079_4
IA;283010003;Hollola;Santahaudanmäki;;22079;4;6770569;3399433;135;Iron artefact;Iron spearhead;Petersen G type variant iron spearhead;"Keihäänkärki; Petersen G variantti";2;TRUE;;;;;;0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Taivutettu, taitekohdassa hieman puujäänteitä, syyt poikittain!!!!!!!!!! Kärki puuttuu;; 22079_4
IA;283010003;Hollola;Santahaudanmäki;;22079;5;6770569;3399433;135;Iron artefact;Iron spearhead;Iron spearhead;Keihäänkärki;2;TRUE;;;;;;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Taivutettu, kahdessa osassa, poikki taivutuskohdasta. Luettelon mukaan ristiretkiaikaista itäbalttilaista tyyppiä! Harjava.;; 22079_5
IA;283010003;Hollola;Santahaudanmäki;;22079;5;6770569;3399433;135;Iron artefact;Iron spearhead;Iron spearhead;Keihäänkärki;2;TRUE;;;;;;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Taivutettu, kahdessa osassa, poikki taivutuskohdasta. Luettelon mukaan ristiretkiaikaista itäbalttilaista tyyppiä! Harjava.;; 22079_5
IA;1000017706;Sastamala;Laukula;HM;812;5;6809970;3286703;;Iron artefact;Iron spearhead;Iron spearhead;Keihäänkärki;0;FALSE;0;0;0;0;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Katkelma. Löysi Ville Keronen Vammalan (nyk. Sastamalaa) Ekosta pellosta, tonttimaan peltoa tehdessä. Samalla kerralla löytyi messinkirengas, mutta se katosi. Museolle myi Yrjö Rautakallio 1911.;;HM 812_5
IA;165010026;Janakkala;Kinnari 1;HM;993;18;6760979;3369699;90;Iron artefact;Iron spearhead;Tanged iron spearhead;"Keihäänkärki; Ruodollinen";1;FALSE;0;0;0;0;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;E:n ruodollinen variantti? Löydetty noin vuonna 1910 lahjoittajan, maanviljelijä Otto Kinnarin pellosta Vanajan (nyk. Hämeenlinnaa) Ikaaloisista. Kinnari lahjoitti esineen museolle 1913.;;HM 993_18
IA;912010003;Sastamala;Torra-Maijala;HM;1114;2;6809980;3280242;60;Iron artefact;Iron spearhead;Tanged iron spearhead;"Keihäänkärki; Ruodollinen";1;FALSE;0;0;0;0;0;0;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE; Löydetty noin vuonna 1911 Torran talon pellosta Vammalasta (nyk. Sastamalaa). Museolle lahjoitti A.H. Torra vuonna 1916.;;HM 1114_2
IA;912010003;Sastamala;Torra-Maijala;HM;1114;3;6809980;3280242;60;Iron artefact;Iron spearhead;Tanged iron spearhead;"Keihäänkärki; Ruodollinen";0;FALSE;0;0;0;0;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;HM 1114_3
IA;912010003;Sastamala;Torra-Maijala;HM;1114;4;6809980;3280242;60;Iron artefact;Iron spearhead;Tanged iron spearhead;"Keihäänkärki; Ruodollinen";0;FALSE;0;0;0;0;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;HM 1114_4
IA;912010003;Sastamala;Torra-Maijala;HM;1114;5;6809980;3280242;60;Iron artefact;Iron spearhead;Tanged iron spearhead;"Keihäänkärki; Ruodollinen";0;FALSE;0;0;0;0;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;HM 1114_5
IA;912010003;Sastamala;Torra-Maijala;HM;1114;6;6809980;3280242;60;Iron artefact;Iron spearhead;Iron spearhead;Keihäänkärki;0;FALSE;0;0;0;0;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;HM 1114_6
IA;1000023025;Jämsä                                                                                               ;Lopotti                                                                                             ;HM;1133;11;6864470;3404093;;Iron artefact;Iron axe;Iron axe;Kirves;1;TRUE;137;90;37;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Pieni sievä, onko teroitettu löytämisen jälk? Löydetty Jämsän pitäjästä jokivarresta kirkkoa vastapäätä erään torpan pihalle kaivoa kaivettaessa n. 2 m syvyydestä. Todnäk yhdistettävissä kohteeseen Lopotti.;;HM 1133_11
IA;536010005;Nokia;Laurila;HM;1177;33;6822789;3308540;85;Iron artefact;Iron spearhead;Iron ango spearhead;"Keihäänkärki; Ango";1;TRUE;0;0;0;0;0;0;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Löysi työmies Y. Siltanen 1912 kaivaessaan Laurilan talon päärakennuksen perushautaa noin 80 cm syvyydestä Pirkkalan Korvolassa (nyk. Nokiaa). H. Laurila säilyttänyt. Museolle toimitti A. Winter 1921.;;HM 1177_33
IA;536010005;Nokia;Laurila;HM;1177;34;6822789;3308540;85;Iron artefact;Iron spearhead;Socketed iron spearhead;"Keihäänkärki; Putkellinen";1;FALSE;0;0;0;0;0;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Katkelma;;HM 1177_34
