Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;Category;Type;Subtype;Subtype 2;Subtype (Finnish);Certainty;Count (1-10);Count (10-100);Count (>100);Main temper (Finnish);Other tempers (Finnish);Preroman IA;Early Roman IA;Late Roman IA;Migration period;Merovingian period;Viking period;Crusade period;1100-1300;1400-1500;Settlement site;Cremation cemetery;Inhumation cemetery;Cairn;Stray find;Hoard;Other context;Decoration;Wave motif;Grid motif;Cord impression;Decoration elements (Finnish);Wall thickness 1 (mm);Wall thickness 2 (mm);Rim thickness 1 (mm);Rim thickness 2 (mm);Other notes (Finnish);Crust;;Photo ID
IA;418010001;Lempäälä;Päivääniemi;KM;15139;1;6803110;3323380;80;Pottery;Burnt clay;Burnt clay;Burnt clay;Palanut savi;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Ei sekoitetta tai painanteita;FALSE;;KM 15139_1
IA;908010022;Valkeakoski;Uittamon Riihimäki;KM;15141;25;6788131;3340294;85;Pottery;Burnt clay;Burnt clay;Burnt clay;Palanut savi;3;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;8;9;;;Joko huonosti poltettu kotitekoinen tiili tai hyvin paksu tiivisteen pala. Yhdessä pinnassa painannetta;FALSE;;KM 15141_25
IA;16010015;Asikkala;Kotasaari;KM;15354;1;6798508;3425598;82,5;Pottery;Iron Age pottery;Pottery;Undecorated;Saviastia;1;TRUE;FALSE;FALSE;hiekka;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Miltei ehyt, tasapohjainen, kaula hieman profiloitu. Korkeus 70 mm, läpimitta 87 mm.;FALSE;;KM 15354_1
IA;16010015;Asikkala;Kotasaari;KM;15354;2;6798508;3425598;82,5;Pottery;Iron Age pottery;Pottery;Undecorated;Saviastia;1;TRUE;FALSE;FALSE;hiekka;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Korkeus 82 mm, läpimitta 108 mm;FALSE;;KM 15354_2
IA;16010015;Asikkala;Kotasaari;KM;15354;3;6798508;3425598;82,5;Pottery;Iron Age pottery;Pottery;Undecorated;Saviastia;1;TRUE;FALSE;FALSE;hiekka;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;TRUE;;KM 15354_3
IA;319010018;Säkylä;Vanhakartano ( Meijeri eli B-kalmisto ja Lallin kalmisto eli C-kalmisto );KM;10955;48;6788413;3249493;42;Pottery;Iron Age pottery;Pottery;Undecorated;Saviastia;1;TRUE;FALSE;FALSE;hiekka;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Koristeeton, karkea. Ruumishauta 8, jossa tasavarsisoljet.;FALSE;;KM 10955_48
IA;50010025;Eura;Yli-Nuoranne;KM;16950;85;6789151;3238185;36;Pottery;Iron Age pottery;Pottery;Undecorated;Saviastia;;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Koristelematon, kukkaruukkumainen;FALSE;;KM 16950_85
IA;979010006;Pöytyä;Anivehmaanmäki;KM;14196;153;6759038;3251588;55;Pottery;Iron Age pottery;Pottery;Undecorated;Saviastia;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Saviastia, sisältä nokinen. Hauta LIV;FALSE;;KM 14196_153
IA;979010006;Pöytyä;Anivehmaanmäki;KM;14196;298;6759038;3251588;55;Pottery;Iron Age pottery;Pottery;Undecorated;Saviastia;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;4;;;;Pyöreäpohjainen, suu heikosti profiloitu.;FALSE;;KM 14196_298
IA;979010006;Pöytyä;Anivehmaanmäki;KM;14196;522;6759038;3251588;55;Pottery;Iron Age pottery;Pottery;Decorated;Saviastia;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;Ristiin kulkevat aaltoviivavyöhykkeet;;;;;;FALSE;;KM 14196_522
IA;1000007490;Nokia;Knuutila;HM;2606;;6823490;3306000;;Pottery;Iron Age pottery;Pottery;Undecorated;Saviastia;1;TRUE;FALSE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;Suoraseinäinen, tasapohjainen. Lötynyt Knuutilan kartanon läheltä Siurosta.;FALSE;;HM 2606
IA;912010031;Sastamala;Tulonen;KM;6671;1;6821354;3289223;65;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;TRUE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;10;6;5;;Koristeettomia saviastianpaloja. Kaksi suoraa, päältä pyöristyneen tasaista reunapalaa. Pintojen värit harmahtavasta punertavaan.;FALSE;;KM 6671_1
IA;932010007;Ylöjärvi;Ahrikkala;KM;6672;1;6850172;3303072;100;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;TRUE;FALSE;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;7;10;8;;Koristeettomia saviastianpaloja. Yksi reunapala, joka päältä tasainen. Palojen sisäpinnat tummanharmaita, ulkopinnat ruskeita.;FALSE;;KM 6672_1
IA;82010032;Hattula;Anttila 1;KM;6720;1;6785531;3357237;82;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;;TRUE;FALSE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;6;;;;Kaksi saviastianpalaa.;FALSE;;KM 6720_1
IA;922010009;Vesilahti;Pajalahdenranta ja Riihimäki;KM;15046;1;6807515;3312684;80;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;Kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;12;;;;Karkeaa käyttökeramiikkaa;FALSE;;KM 15046_1
IA;922010009;Vesilahti;Pajalahdenranta ja Riihimäki;KM;15138;1;6807515;3312684;80;Pottery;Iron Age pottery;Pottery sherd;;Saviastian pala;1;FALSE;TRUE;FALSE;kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;8;12;;;ei kuvattu;FALSE;;KM 15138_1
IA;82010067;Hattula;Puotila;KM;15173;1;6772470;3359952;88;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;;FALSE;TRUE;FALSE;Kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;FALSE;;KM 15173_1
IA;82010067;Hattula;Puotila;KM;15173;1;6772470;3359952;88;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;FALSE;TRUE;FALSE;Kivimurska;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;FALSE;;KM 15173_1
IA;704010009;Rusko;Hiisimäki-Kololanoja;KM;15597;1;6725176;3238375;27,5;Pottery;Iron Age pottery;Pottery sherd;Undecorated;Saviastian pala;1;TRUE;FALSE;FALSE;;hiekka;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;10;;;;Harmahtavaa, pinnat kuluneet. Savitiivistettä, kuonaa;FALSE;;KM 15597_1
