Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Main temper (Finnish);Other tempers (Finnish);Count (1-10);Count (10-100);Count (>100);Other notes (Finnish)
IA;613010040;Porvoo;Böle;BM;66,55;;6702770;3433160;10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;kivimurska;;TRUE;FALSE;FALSE;
IA;taipalsaari 0;Taipalsaari;Taipalsaari;EKM;3286;;6784061;3557101;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;sekoitteeton;;TRUE;FALSE;FALSE;
IA;taipalsaari 0;Taipalsaari;Taipalsaari;EKM;3337;;6784061;3557101;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;kivimurska;;TRUE;FALSE;FALSE;
IA;686010018;Rautalampi;Hämeenniemi;KHMESIE;8263;1-3;6952393;3496223;98;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;0;kivimurska;;TRUE;FALSE;TRUE;karsta (12)
IA;Karjala 60;Tytärsaari;Kaunismäki;KM;5451;1-10;6637000;3512600;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;;;FALSE;FALSE;FALSE;nähty HY arla (4)
IA;531010020;Nakkila;Penttala;KM;5851;1-132;6816315;3234506;20;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;;;FALSE;FALSE;FALSE;nähty HY arla (26)
IA;531010020;Nakkila;Penttala;KM;6093;1-48;6816315;3234506;20;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;;;FALSE;FALSE;FALSE;nähty HY arla (29)
IA;Kaukola 23;Kaukola;Vehnamalahdenpelto;KM;6500;8-10;6780664;3647704;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 15;Kaukola;Kankaanmäki;KM;6620;10-14;6778677;3648046;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;uusi 6696;Kaukola;Kalle Merosen Nököpelto;KM;6648;17-23;6775551;3650750;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;uusi 6697;Kaukola;Kalle Merosen pienipelto;KM;6648;24-27;6775551;3650750;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 18;Kaukola;Kyöstälänharju;KM;6648;28-29;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 21;Kaukola;Tiitunmäki Varpa;KM;6648;30-41;6778525;3648654;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;FALSE;TRUE;FALSE;
IA;uusi 6698;Kaukola;Juho Kortteen kartanopelto;KM;6648;43-45;6775551;3650750;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;FALSE;TRUE;FALSE;
IA;Kaukola 18;Kaukola;Kyöstälänharju;KM;6670;3;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 12;Kaukola;Hiidenmäki;KM;6670;5-6;6777732;3647078;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;FALSE;TRUE;FALSE;
IA;Kaukola 18;Kaukola;Kyöstälänharju;KM;6679;5-20;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;444010042;Lohja;Virmonsaari;KM;6686;1-5;6684249;3330860;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;kivimurska;;TRUE;FALSE;FALSE;
IA;Kaukola 21;Kaukola;Tiitunmäki Varpa;KM;6691;7;6778525;3648654;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 18;Kaukola;Kyöstälänharju;KM;6691;1-6;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 19;Kaukola;J. Iivosen & S. Lankisen maat;KM;6907;34-40;6778739;3648504;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;FALSE;TRUE;FALSE;
IA;Kaukola 12;Kaukola;Hiidenmäki;KM;6907;42-45;6777732;3647078;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;FALSE;TRUE;FALSE;
IA;Kaukola 12;Kaukola;Hiidenmäki;KM;6910;22-23;6777732;3647078;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;FALSE;TRUE;FALSE;
IA;Kaukola 12;Kaukola;Hiidenmäki;KM;6910;22-23;6777732;3647078;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;kivimurska;;TRUE;FALSE;FALSE;
IA;49040014;Espoo;Storguss t. Lillguss;KM;6912;8-11;6679263;3364538;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;2;kivimurska;;TRUE;FALSE;FALSE;
IA;Kaukola 15;Kaukola;Kankaanmäki;KM;6940;97-109;6778677;3648046;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 18;Kaukola;Kyöstälänharju;KM;6981;5-16;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 12;Kaukola;Hiidenmäki;KM;6981;39-42;6777732;3647078;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;FALSE;FALSE;FALSE;
IA;Kaukola 21;Kaukola;Tiitunmäki Varpa;KM;7033;1;6778525;3648654;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;hiekka;;TRUE;FALSE;FALSE;
IA;uusi 4688;Kirkkonummi;Torsbacken;KM;7194;5-6;6679816;3361610;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;kivimurska;;TRUE;FALSE;FALSE;
IA;Kaukola 18;Kaukola;Kyöstälänharju;KM;7285;27-36;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 18;Kaukola;Kyöstälänharju;KM;7285;37-39;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;49010056;Espoo;Mickels (Mikkelä);KM;7322;10;6679500;3369234;17;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;hiekka;;FALSE;TRUE;FALSE;
IA;Kaukola 18;Kaukola;Kyöstälänharju;KM;7357;10-30;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 23;Kaukola;Vehnamalahdenpelto;KM;7450;112-113;6780664;3647704;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 17;Kaukola;Nököpelto;KM;7450;43-53;6779916;3647549;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;257010045;Kirkkonummi;Koivistosveden;KM;7734;7-12;6681086;3360996;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 18;Kaukola;Kyöstälänharju;KM;7815;6-12;6779166;3648664;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 21;Kaukola;Tiitunmäki Varpa;KM;7815;53-55;6778525;3648654;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;49010037;Espoo;Putkars;KM;7825;14;6682379;3362988;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;hiekka;;TRUE;FALSE;FALSE;karsta (14)
IA;Kaukola 15;Kaukola;Kankaanmäki;KM;8171;1-2;6778677;3648046;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;2;hiekka;;TRUE;FALSE;FALSE;
IA;Kaukola 21;Kaukola;Tiitunmäki Varpa;KM;8171;5-8;6778525;3648654;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;2;hiekka;;TRUE;FALSE;FALSE;
IA;49010002;Espoo;Finns;KM;8206;18-19;6677931;3365659;19;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;kivimurska;;FALSE;TRUE;FALSE;
IA;257010027;Kirkkonummi;Pappila;KM;8286;2;6671200;3357983;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;hiekka;;TRUE;FALSE;FALSE;
