Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
SA;853010022;Turku;Kotirinne;TYA;331;939;6716629;3243161;23;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber piece;Amber piece;Meripihkaa;1;FALSE;;;;;;;murusia;TYA 331_939
SA;853010022;Turku;Kotirinne;TYA;331;940;6716629;3243161;23;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber piece;Amber piece;Meripihkaa;1;FALSE;;;;;;;murusia;TYA 331_940
SA;853010022;Turku;Kotirinne;TYA;446;704;6716629;3243161;23;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber piece;Amber piece;Meripihkaa;1;FALSE;;;;10;10;;murusia;TYA 446_704
SA;Fi 20.2;Finström;;ÅM;506;5;6706426;3108146;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Amber artefacts;Amber ring;Amber ring;Meripihkarengas;1;TRUE;22;21;7;;;;;ÅM 506_5
SA;Sa 35.1;Saltvik;;ÅM;523;887;6711184;3112281;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;FALSE;;;;29;17;10;;ÅM 523_887
SA;uusi 4121;Metsäpirtti;Koukunniemi;KM;1922;392;6722862;3688891;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Anthropomorphic or zoomorphic amber artefact;Anthropomorphic amber artefact;Meripihkariipus, ihmiskasvoinen;1;TRUE;54;22;9;0;0;0;ihmiskasvot;KM 1922_392
SA;Räisälä 18;Räisälä;Virtelä Pitkäjärvi;KM;6939;133;6767059;3644914;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber piece;Amber piece;Meripihkaa;1;FALSE;;;;;;;pieniä muruja;KM 6939_133
SA;Räisälä 18;Räisälä;Virtelä Pitkäjärvi;KM;6939;249;6767059;3644914;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber ring;Amber ring;Meripihkarengas;1;FALSE;18;18;5;;;;;KM 6939_249
SA;846010004;Teuva;Pappilankangas;KM;7622;4;6937861;3226342;62,5;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber pendant;Amber pendant;Meripihkariipus;1;FALSE;;;;15;13;6;trapetsinmuotoinen;KM 7622_4
SA;853010030;Turku;Jäkärlä;KM;8061;83;6722254;3245384;;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber button;Amber button;Meripihkanappi;1;TRUE;34;34;7;;;;;KM 8061_83
SA;503010040;Mynämäki;Pyheensilta, Laajoen luoteispuoli;KM;10903;238;6747129;3223642;30;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber piece;Amber piece;Meripihkaa;1;FALSE;;;;25;23;9;;KM 10903_238
SA;613010038;Porvoo;Vävarsbacka;KM;12874;50;6707940;3430720;15;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Amber artefacts;Amber piece;Amber piece;Meripihkaa;1;FALSE;;;;15;14;6;;KM 12874_50
