Phase;Site id;Collection;Main number;Subnumber;Municipality;Site name;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
SA;uusi 7074;KM;2003;7,1;Uusi-Laatokka;Sääsjoen kanava;6681118;3801682;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Bone artefacts;Bone chisel;Bone chisel;Luutaltta;1;TRUE;148;22;15;;;;;KM 2003_7,1
SA;uusi 7074;KM;2003;7,2;Uusi-Laatokka;Sääsjoen kanava;6681118;3801682;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Bone artefacts;Bone chisel;Bone chisel;Luutaltta;2;TRUE;105;8;20;;;;;KM 2003_7,2
SA;uusi 7074;KM;2003;7,3;Uusi-Laatokka;Sääsjoen kanava;6681118;3801682;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Bone artefacts;Bone chisel;Bone chisel;Luutaltta;3;TRUE;83;18;9;;;;;KM 2003_7,3
SA;uusi 7074;KM;2003;7,4;Uusi-Laatokka;Sääsjoen kanava;6681118;3801682;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Bone artefacts;Other bone artefact;Other bone artefact;Luuesineen katkelma;1;TRUE;;;;175;21;13;Saattanut olla taltta.;KM 2003_7,4
SA;uusi 7074;KM;2003;8;Uusi-Laatokka;Sääsjoen kanava;6681118;3801682;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Bone artefacts;Other bone artefact;Other bone artefact;Luuesineen katkelma;1;FALSE;;;;131;14;6;Saattanut olla taltta tai naskali.;KM 2003_8
SA;Räisälä 18;KM;6939;28;Räisälä;Virtelä Pitkäjärvi;6767059;3644914;;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Bone artefacts;Other bone artefact;Other bone artefact;Luuesineen katkelma;1;FALSE;;;;13;4;3;;KM 6939_28
SA;Räisälä 18;KM;6939;108;Räisälä;Virtelä Pitkäjärvi;6767059;3644914;;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Bone artefacts;Other bone artefact;Other bone artefact;Luuesineen katkelma;1;FALSE;;;;23;11;7;;KM 6939_108
SA;Räisälä 18;KM;6939;187;Räisälä;Virtelä Pitkäjärvi;6767059;3644914;;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Bone artefacts;Bone awl;Bone awl;Luunaskali;2;FALSE;20;6;2;;;;;KM 6939_187
SA;211010004;KM;7964;27;Kangasala;Pohtiolampi ja Tiilitehdas;6819197;3346749;88;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Bone artefacts;Other bone artefact;Other bone artefact;Luuesineen katkelma;2;FALSE;;;;13;11;4;;KM 7964_27
SA;211010004;KM;7964;33;Kangasala;Pohtiolampi ja Tiilitehdas;6819197;3346749;88;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Bone artefacts;Bone fishhook;Bone fishhook;Luuongenkoukku;1;FALSE;;;;21;8;4;;KM 7964_33
SA;211010004;KM;7964;93;Kangasala;Pohtiolampi ja Tiilitehdas;6819197;3346749;88;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Bone artefacts;Other bone artefact;Other bone artefact;Luuesineen katkelma;1;FALSE;;;;21;6;5;renkaan tms osa, poikkileikkaus rombi;KM 7964_93
SA;211010004;KM;7964;93;Kangasala;Pohtiolampi ja Tiilitehdas;6819197;3346749;88;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Bone artefacts;Other bone artefact;Other bone artefact;Luuesineen katkelma;1;FALSE;;;;12;7;5;nuolenkärki? Poikkileikkaus rombi;KM 7964_93
SA;211010004;KM;7964;93;Kangasala;Pohtiolampi ja Tiilitehdas;6819197;3346749;88;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Bone artefacts;Other bone artefact;Other bone artefact;Luuesineen katkelma;1;FALSE;;;;23;6;5;renkaan tms osa, poikkileikkaus rombi;KM 7964_93
SA;211010004;KM;7964;93;Kangasala;Pohtiolampi ja Tiilitehdas;6819197;3346749;88;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;Bone artefacts;Other bone artefact;Other bone artefact;Luuesineen katkelma;1;FALSE;;;;15;5;4;renkaan tms osa, poikkileikkaus rombi;KM 7964_93
