Phase;Site id;Collection;Main number;Subnumber;;Municipality;Site name;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);;;;Photo ID
SA;749010003;KHMESIE;5948;;;Siilinjärvi;Pöljän vanha kansakoulu;7002500;3531750;100;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Anthropomorphic clay idol;Savi-idoli, ihminen;2;FALSE;;;;22;12;11;;;;;KHMESIE 5948
SA;853010030;KM;5105;3;;Turku;Jäkärlä;6722254;3245384;;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;24;10;10;;;;;KM 5105_3
SA;Karjala 61;KM;5427;14;;Viipuri;Häyrynmäki;6737415;3599675;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;35;12;11;;;;;KM 5427_14
SA;Karjala 61;KM;5428;226;;Viipuri;Häyrynmäki;6737415;3599675;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;TRUE;30;9;9;;;;;;;;KM 5428_226
SA;Karjala 61;KM;5428;246;;Viipuri;Häyrynmäki;6737415;3599675;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;20;7;7;;;;;KM 5428_246
SA;Karjala 61;KM;5620;1753;;Viipuri;Häyrynmäki;6737415;3599675;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;1;FALSE;;;;24;24;10;kiekura;;;;KM 5620_1753
SA;Karjala 61;KM;5620;2888;;Viipuri;Häyrynmäki;6737415;3599675;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay artefact fragment;Saviesineen katkelma;1;TRUE;40;30;15;;;;isompi savipallukka;;;;KM 5620_2888
SA;Karjala 61;KM;5621;2;;Viipuri;Häyrynmäki;6737415;3599675;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Other clay idol;Savi-idoli;1;FALSE;;;;38;35;28;jalkamainen, pohjassa kampaleima, mahdollisesti upokas;;;;KM 5621_2
SA;Kaukola 15;KM;6500;1;;Kaukola;Kankaanmäki;6778677;3648046;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;22;11;10;;;;;KM 6500_1
SA;Kaukola 15;KM;6620;8;;Kaukola;Kankaanmäki;6778677;3648046;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;35;10;8;;;;;KM 6620_8
SA;Kaukola 15;KM;6620;13;;Kaukola;Kankaanmäki;6778677;3648046;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay idol;Bent clay idol;Savi-idoli, käyrä;1;FALSE;;;;29;23;22;;;;;KM 6620_13
SA;Kaukola 15;KM;6620;18;;Kaukola;Kankaanmäki;6778677;3648046;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay bar;Saviesine, tanko;1;FALSE;;;;29;14;13;;;;;KM 6620_18
SA;Kaukola 21;KM;6691;23;;Kaukola;Tiitunmäki Varpa;6778525;3648654;;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay ball;Saviesine, pallo;1;FALSE;;;;22;21;11;;;;;KM 6691_23
SA;Räisälä 18;KM;6939;3;;Räisälä;Virtelä Pitkäjärvi;6767059;3644914;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Clay artefacts;Clay artefact;Clay ring;Saviesine, rengas;1;FALSE;;;;21;11;7;;;;;KM 6939_3
