Phase;Site id;Municipality;Site name;p;i;z;Collection;Main number;Subnumber;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Other notes (Finnish);Photo ID
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;Hal;320;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;Hal 320
SA;uusi 4622;Saarijärvi;Hännilä;6952955;3404105;;KM;7063;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 7063
SA;1000003733;Kirkkonummi;Sågängen;6682218;3361506;;KM;7691;14;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Branch;Branch;Oksa;;KM 7691_14
SA;211010017;Kangasala;Kuohenmaa;6808849;3343569;85;KM;7965;6;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Net sinker with birch bark binding;Verkonkives, tuohipunos;;KM 7965_6
SA;211010017;Kangasala;Kuohenmaa;6808849;3343569;85;KM;7965;9;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Net sinker with a hoop;Verkonkives, vanne;;KM 7965_9
SA;211010017;Kangasala;Kuohenmaa;6808849;3343569;85;KM;7965;10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Net sinker with birch bark binding;Verkonkives, tuohipunos;;KM 7965_10
SA;1000016691;Kuopio;Hovi;6986460;3542900;87,5;KM;8554;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 8554
SA;1000004481;Lieksa;Paavola 1;7046580;3635420;116;KM;9003;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden spoon;Wooden spoon;Puulusikka;sorsalusikka;KM 9003
SA;249040021;Keuruu;Suolahti Suojoki;6914582;3379634;106;KM;9421;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Birch bark sheet;Birch bark sheet;Tuohilevy;;KM 9421_1
SA;249040021;Keuruu;Suolahti Suojoki;6914582;3379634;106;KM;9421;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Birch bark sheet;Birch bark sheet;Tuohilevy;;KM 9421_2
SA;249040021;Keuruu;Suolahti Suojoki;6914582;3379634;106;KM;9421;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Birch bark sheet;Birch bark sheet;Tuohilevy;;KM 9421_3
SA;249040021;Keuruu;Suolahti Suojoki;6914582;3379634;106;KM;9421;4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Birch bark sheet;Birch bark sheet;Tuohilevy;;KM 9421_4
SA;249040021;Keuruu;Suolahti Suojoki;6914582;3379634;106;KM;9421;5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Birch bark sheet;Birch bark sheet;Tuohilevy;;KM 9421_5
SA;uusi 3858;Padasjoki;;6806000;3408014;;KM;9716;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Punt;Punt;Ruuhi;;KM 9716
SA;1000034812;Heinola;Viikinäinen;6799600;3455200;;KM;9882;;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 9882
SA;1000016013;Kemijärvi;Petäjäaapa;7369500;3524700;320;KM;9908;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Wooden artefacts;Ski;Ski;Suksi;;KM 9908_1
SA;uusi 2683;Kauniainen;;6680687;3374214;;KM;10034;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden artefact fragment;Wooden artefact fragment;Puuesineen katkelma;veistetty kanto;KM 10034
SA;1000004945;Laitila;Heikkilä;6753720;3220670;15;KM;10125;2;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Paddle;Paddle;Mela;;KM 10125_2
SA;uusi 2761;Kittilä;;7503879;3420895;;KM;10179;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden spoon;Wooden spoon;Puulusikka;hirvenpäälusikka;KM 10179
SA;uusi 2820;Viitasaari;Löytänä;7020490;3434836;;KM;10268;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Net sinker with birch bark binding;Verkonkives, tuohipunos;;KM 10268
SA;844010003;Tervo;Hiidenmaa;6972480;3484040;105;KM;10302;1;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Net sinker with birch bark binding;Verkonkives, tuohipunos;;KM 10302_1
SA;844010003;Tervo;Hiidenmaa;6972480;3484040;105;KM;10302;3;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 10302_3
SA;uusi 2847;Oulu;;7212947;3432428;;KM;10310;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Branch;Branch;Oksa;;KM 10310_3
SA;944010063;Vöyri;Istankangas;7007895;3273892;42;KM;10447;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden artefact fragment;Wooden artefact fragment;Puuesineen katkelma;puukoukku;KM 10447_2
SA;18010071;Askola;Honkaniemi;6713500;3432440;20;KM;10459;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden artefact fragment;Wooden artefact fragment;Puuesineen katkelma;laudan katkelma;KM 10459
SA;1000006877;Tammela;Kaksvetinen;6736281;3329184;117;KM;10544;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Punt;Punt;Ruuhi;;KM 10544
SA;535010001;Nivala;Salmensuu;7097468;3404804;82,5;KM;10863;7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Lath screen fish trap;Liistekatiska;;KM 10863_7
SA;844010003;Tervo;Hiidenmaa;6972480;3484040;105;KM;10864;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Net sinker with birch bark binding;Verkonkives, tuohipunos;;KM 10864
SA;844010003;Tervo;Hiidenmaa;6972480;3484040;105;KM;10877;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Lath screen fish trap;Liistekatiska;;KM 10877
SA;uusi 3123;Kangasala;Raikku;6814932;3350612;;KM;11093;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Bow;Bow;Jousi;;KM 11093_1
SA;319010001;Säkylä;Nummi;6791277;3245888;42,5;KM;11645;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Wicker screen fish trap;Pajumerta;;KM 11645_2
SA;x732;Tyrnävä;Palokangas;7171225;3433491;;KM;11875;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 11875
SA;582040010;Raahe;Kallioneva;7176881;3393005;45;KM;11927;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 11927
SA;560010010;Orimattila;Alestalo;6756970;3429430;70;KM;12057;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central groove;Reenjalas, keskikuurnallinen;;KM 12057_1
SA;uusi 2956;Lapua;;6994264;3291071;;KM;12058;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 12058
SA;uusi 2988;Alavus;;6928982;3322606;;KM;12114;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Ski;Ski;Suksi;;KM 12114
SA;1000034813;Heinola;Ketlahti 2;6800286;3453317;;KM;12146;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 12146
SA;uusi 2992;Pihtipudas;Muurasjärvi;7053514;3408687;;KM;12147;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 12147
SA;729010026;Saarijärvi;Moilanen;6951751;3414410;111;KM;12233;14;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Wooden artefact fragment;Wooden artefact fragment;Puuesineen katkelma;puukaari;KM 12233_14
SA;uusi 3070;Ruokolahti;Kymälahti;6789136;3600137;;KM;12398;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12398
SA;1000016734;Lapinlahti;Harju;7016240;3528900;120;KM;12406;;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner with a central trough;Reenjalas, päällyskourullinen;;KM 12406
SA;uusi 3520;Viitasaari;Heinunniemi;7020446;3434841;;KM;12516;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Net sinker with a hoop;Verkonkives, vanne;;KM 12516
SA;1000016728;Lapinlahti;Päivärinne;7029880;3517100;;KM;12525;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Sledge runner;Sledge runner;Reenjalas;;KM 12525
SA;1000005696;Helsinki;Aleksis Kiven katu;6677037;3387009;;KM;12544;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Punt;Punt;Ruuhi;;KM 12544
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_1
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;2;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_2
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;3;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_3
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;4;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_4
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_5
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;6;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_6
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;7;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_7
SA;609010021;Pori;Lähdepuro;6826785;3217872;10;KM;12715;8;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Wooden artefacts;Fishing implement;Bark float;Kaarnakoho;;KM 12715_8
