Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Category,Type,Subtype,Subtype (Finnish),Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),PhotoID,X,Y,Length,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Ajoitusperuste,Subtype 2,Subtype 2 (Finnish)
BA,Kö 6.16,Kökar,,ÅM,200,287,6662169.0,3158475.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Birch bark tar piece,,Koivutervaa,2.0,False,,,,,,,useita kappaleita,ÅM 200_287,"20,88363679","59,92960346",,,,,,,,,,,,,,,
BA,Kö 6.16,Kökar,,ÅM,200,290,6662169.0,3158475.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Birch bark tar piece,,Koivutervaa,1.0,False,,,,,,,,ÅM 200_290,"20,88363679","59,92960346",,,,,,,,,,,,,,,
BA,Kö 6.16,Kökar,,ÅM,200,319,6662169.0,3158475.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,True,24.0,14.0,8.0,,,,,ÅM 200_319,"20,88363679","59,92960346",,,,,,,,,,,,,,,
BA,Kö 6.16,Kökar,,ÅM,200,349,6662169.0,3158475.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Birch bark tar piece,,Koivutervaa,2.0,False,,,,,,,useita kappaleita,ÅM 200_349,"20,88363679","59,92960346",,,,,,,,,,,,,,,
BA,Kö 6.16,Kökar,,ÅM,200,368,6662169.0,3158475.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Birch bark tar piece,,Koivutervaa,2.0,False,,,,,,,useita kappaleita,ÅM 200_368,"20,88363679","59,92960346",,,,,,,,,,,,,,,
BA,Kö 6.16,Kökar,,ÅM,200,396,6662169.0,3158475.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,True,17.0,10.0,7.0,,,,,ÅM 200_396,"20,88363679","59,92960346",,,,,,,,,,,,,,,
BA,Kö 6.16,Kökar,,ÅM,200,459,6662169.0,3158475.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Birch bark tar piece,,Koivutervaa,2.0,False,,,,,,,useita kappaleita,ÅM 200_459,"20,88363679","59,92960346",,,,,,,,,,,,,,,
BA,Kö 6.16,Kökar,,ÅM,200,479,6662169.0,3158475.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,True,30.0,24.0,17.0,,,,,ÅM 200_479,"20,88363679","59,92960346",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,225,12,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Caulking pitch,,Hartsitiiviste,2.0,False,,,,,,,,ÅM 225_12,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,225,32,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,ÅM 225_32,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,225,50,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Caulking pitch,,Hartsitiiviste,2.0,False,,,,,,,,ÅM 225_50,"20,16329745","60,31392076",,,,,,,,,,,,,,,
BA,Sa 20.11,Saltvik,,ÅM,225,53,6708778.0,3122759.0,,False,False,False,False,False,False,False,False,True,False,False,Birch bark tar,Caulking pitch,,Hartsitiiviste,1.0,False,,,,,,,,ÅM 225_53,"20,16329745","60,31392076",,,,,,,,,,,,,,,
