Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,Category,Type (Finnish),Preroman IA,Early Roman IA,Late Roman IA,Migration period,Merovingian period,Viking period,Crusade period,1100-1300,1400-1500,Settlement site,Cremation cemetery,Inhumation cemetery,Stray find,Cairn,Hoard,Other context,Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),PhotoID,X,Y,Type,Subtype,Subtype (Finnish),m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Subtype 2,Decoration,Wave motif,Grid motif,Cord impression,Decoration elements (Finnish),Wall thickness 1 (mm),Wall thickness 2 (mm),Rim thickness 1 (mm),Rim thickness 2 (mm),Crust,Subtype 2 (Finnish),Stone art (Finnish)
IA,979010006,Pöytyä,Anivehmaanmäki,KM,14196,123,6759038.0,3251588.0,55,Amber artefacts,Meripihkariipus,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1.0,False,,,,15.0,9.0,,"Hauta LI, pitkänomainen, katkennut",KM 14196_123,"22,42291347","60,86298054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000118,Laitila,Soukainen,KM,22020,17.0,6767800.0,3212340.0,15,Beads,Lasimassahelmi,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1.0,True,10.0,6.0,,,,,7,KM 22020_17,"21,69060425","60,91480359",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000130,Laitila,Kuivala/Hällynen,KM,23085,9.0,6768200.0,3212490.0,"17,5",Beads,Pronssihelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,11.0,6.0,6.0,,,,Pistekoristelut. Aika hyvin säilynyt. Jos samasta kuin merovingiaikaiseksi arveltu esinesikermä niin olisi merovingiaikainen.,KM 23085_9,"21,69276122","60,91848679",Bronze bead,Bronze bead (serial),Sarjahelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000130,Laitila,Kuivala/Hällynen,KM,23085,14.0,6768200.0,3212490.0,"17,5",Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,11.0,7.0,,,,,"Punainen/oranssi, huonokuntoinen, ollut tulessa",KM 23085_14,"21,69276122","60,91848679",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000130,Laitila,Kuivala/Hällynen,KM,23085,15.0,6768200.0,3212490.0,"17,5",Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,2.0,False,,,,,,,"On niin sulanut, että vaikea sanoa onko alkujaan kaksoishelmi vai kasi yhteensulanutta. Sininen.",KM 23085_15,"21,69276122","60,91848679",Glass bead,Glass bead (serial),Sarjahelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000130,Laitila,Kuivala/Hällynen,KM,23085,8.0,6768200.0,3212490.0,"17,5",Beads,Pronssihelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,36.0,8.0,8.0,,,,Pistekoristelut. Aika hyvin säilynyt. Jos samasta kuin merovingiaikaiseksi arveltu esinesikermä niin olisi merovingiaikainen.,KM 23085_8,"21,69276122","60,91848679",Bronze bead,Bronze bead (serial),Sarjahelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000171,Laitila,Kylämäki,KM,16312,80.0,6764470.0,3210650.0,15,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,8.0,,,,KM 16312_80,"21,66457572","60,88381826",Glass bead,Melon glass bead,Melonihelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000171,Laitila,Kylämäki,KM,16312,95.0,6764470.0,3210650.0,15,Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,9.0,6.0,,,,,"Savihelmen värinen, mutta hieman painavampi. Mattapintainen ja tiivis, kellanoranssi, samanlaisen puolikas alanrolla 178",KM 16312_95,"21,66457572","60,88381826",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000171,Laitila,Kylämäki,KM,16312,372.0,6764470.0,3210650.0,15,Beads,Pronssihelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,9.0,10.0,,,,,Sisältä ontto,KM 16312_372,"21,66457572","60,88381826",Bronze bead,Bronze bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000171,Laitila,Kylämäki,KM,16312,3.0,6764470.0,3210650.0,15,Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,11.0,7.0,,,,,"Himmeä, mattapintainen massa, vastaava puolikas alanrolla 19, vastaavia kokonaisia alanroilla  87 ja 98 ja 177 ja 369 ja 370",KM 16312_3,"21,66457572","60,88381826",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
