Phase;Site id;Collection;Main number;Subnumber;Municipality;Site name;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Main temper (Finnish);Other tempers (Finnish);Count (1-10);Count (10-100);Count (>100);Other notes (Finnish);X;Y
SA;porvoo 1;BM;57,297;;Porvoo;Ilola;6705663;3431506;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Late Comb Ware;Late Comb Ware;Ka 3;1;orgaaninen;;TRUE;FALSE;FALSE;;25,75220901;60,45601794
SA;613010040;BM;67,352;;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Comb Ware;Sperrings 1 Ware;Ka 1:1;1;kivimurska;;TRUE;FALSE;FALSE;;25,78322962;60,43033691
SA;613010040;BM;67,352;;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;orgaaninen;;TRUE;FALSE;FALSE;;25,78322962;60,43033691
SA;613010001;BM;67,408;;Porvoo;Bastäng;6700317;3411819;20;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Corded Ware;Corded Ware;nuora;1;shamotti;;TRUE;FALSE;FALSE;;25,39695686;60,40422825
SA;613010002;BM;67,43;;Porvoo;Västanå I;6700772;3411950;17;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Corded Ware;Corded Ware;nuora;2;shamotti;;TRUE;FALSE;FALSE;;25,39913208;60,4083389
SA;613010013;BM;67,468;;Porvoo;Henttala;6706900;3423780;20;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Comb Ware;Sperrings 1 Ware;Ka 1:1;1;kivimurska;;TRUE;FALSE;FALSE;;25,61138002;60,46572892
SA;613010013;BM;67,468;;Porvoo;Henttala;6706900;3423780;20;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;orgaaninen;;TRUE;FALSE;FALSE;;25,61138002;60,46572892
SA;613010040;BM;67,8;;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Comb Ware;Sperrings 1 Ware;Ka 1:1;1;kivimurska;;TRUE;FALSE;FALSE;;25,78322962;60,43033691
SA;613010040;BM;67,8;;Porvoo;Böle;6702770;3433160;10;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;kivimurska;;TRUE;FALSE;FALSE;;25,78322962;60,43033691
SA;porvoo 3;BM;68,149;;Sipoo;Fredriksdal;6701587;3407954;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Other pottery;Other pottery;keram;;orgaaninen;;TRUE;FALSE;FALSE;;25,32627886;60,41475934
SA;käkisalmi 0;EKM;3238;;Käkisalmi;Käkisalmi?;6773607;3668466;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Asbestos Ware;Early Asbestos Ware;vasb;1;asbesti;;TRUE;FALSE;FALSE;;30,11470437;61,03570642
SA;831010006;EKM;11478;1-7;Taipalsaari;Vaateranta;6780780;3559700;79;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;1;hiekka;;FALSE;TRUE;FALSE;;28,10482092;61,13149316
SA;402010002;KHMESIE;1753;;Lapinlahti;Kärkkäinen;7029450;3520480;102,5;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;0;kivimurska;;FALSE;TRUE;TRUE;;27,40588617;63,36665349
SA;595010001;KHMESIE;2688;1-21;Pielavesi;Virranniska;7011000;3484020;105;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;0;kivimurska;;TRUE;FALSE;TRUE;;26,67905686;63,20134619
SA;740010001;KHMESIE;2696;;Savonlinna;Pääskylahti;6862231;3602745;85;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;-1;kivimurska;;FALSE;FALSE;TRUE;;28,94842718;61,85311509
SA;1000001323;KHMESIE;2984;1;Sulkava;Kapakkamäki;6854620;3572400;82,5;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;-1;kivimurska;;FALSE;FALSE;TRUE;;28,36920942;61,79179525
SA;kuopio220;KHMESIE;4061;;Savonlinna;Kuokkala Pennanen;6879044;3606932;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;-1;asbesti;;FALSE;FALSE;FALSE;;29,03792033;62,00273507
SA;uusi 8364;KHMESIE;4081;;tuntematon;;;;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;0;orgaaninen;;TRUE;FALSE;TRUE;;#NUM!;#NUM!
SA;uusi 8364;KHMESIE;4081;;tuntematon;;;;;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Middle and Late Neolithic Asbestos- and Organic Tempered Ware;Pöljä Ware;Pöljä;0;asbesti;;TRUE;FALSE;TRUE;;#NUM!;#NUM!
SA;749010003;KHMESIE;4305;;Siilinjärvi;Pöljän vanha kansakoulu;7002500;3531750;100;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;-1;kivimurska;;FALSE;FALSE;TRUE;;27,62585882;63,12407234
SA;919010001;KHMESIE;4326;1;Kuopio;Roikanmäki;6968240;3558240;95;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;-1;kivimurska;asbesti;FALSE;FALSE;TRUE;;28,13874509;62,81347714
SA;857010001;KHMESIE;4444;1;Tuusniemi;Laukansalo;6944560;3576800;90;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Typical Comb Ware;Typical Comb Ware;Ka 2;-1;kivimurska;;FALSE;FALSE;TRUE;;28,49183797;62,59767825
SA;uusi 8365;KHMESIE;4461;;tuntematon;;;;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Pottery;Early Asbestos Ware;Early Asbestos Ware;Vasb;-1;asbesti;;FALSE;FALSE;TRUE;;#NUM!;#NUM!
