Phase;Site id;Collection;Main number;Subnumber;Municipality;Site name;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype 2;Subtype (Finnish);Certainty;Subtype 2 (Finnish);Integrity;Rock type (Finnish);Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID;X;Y
SA;uusi 5701;KM;2003;2;Uusi Laatokka;Wolchovan jokivarsi;6558775;3798936;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Stone artefacts;Stone arrowhead;Tapering oval arrowhead;Tapering oval flint arrowhead;Piinuolenkärki;;;FALSE;pii;54;17;7;;;;;KM 2003_16;32,20740005;59,03879477
SA;1000012797;KM;15887;16;Raasepori;Gästans Gästans;6648156;3317321;5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Stone artefacts;Other stone artefact;Whetstone pendant;;Riipushioin;2;Riipushioin. reiällinen;FALSE;;109;36;15;;;;toisessa päässä reikä;KM 15887_16;23,73161812;59,9051875
SA;40010027;KM;29578;100;Kemiönsaari;Kyrksundet;6649270;3247493;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Stone artefacts;Stone arrowhead;Tapering oval arrowhead;Tapering oval flint arrowhead;Piinuolenkärki;2;;FALSE;pii;16;12;;;;;koverokantainen kolmiomainen kärki;KM 29578_100;22,4859907;59,87836397
SA;x709;KM;14399;;Hanko;Bromarv Prästö;6650401;3277409;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;Stone artefacts;Perforated stone tool;Perforated stone;;Reikäkivi;1;Reikäkivi. epäsymmetrinen;TRUE;graniitti;101;88;32;;;;;KM 14399;23,01761569;59,90569683
SA;turku203;TMM;12960;1;Kemiönsaari;Stora Ängeskär;6651046;3243436;;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;Stone artefacts;Other stone artefact;Whetstone pendant;;Riipushioin;1;;TRUE;ruskea liuske;47;12;11;0;0;0;OK 2010;TMM 12960_1;22,41158722;59,89175504
SA;uusi 758;KM;21529;;Inkoo;Tostholm;6652129;3323990;5;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Stone artefacts;Stone shaft-hole axe;Battle axe;;Vasarakirves;1;;FALSE;diabaasi;;;;55;70;43;keskikatkelma;KM 21529;23,84723167;59,94369361
SA;uusi 479;KM;27664;;Raasepori;Rågö Mäenrinne;6654572;3318473;10;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Stone artefacts;Stone chisel;Stone chisel;;Tasataltta;1;;FALSE;harmaa liuske;91;50;17;;;;;KM 27664;23,74653908;59,96319167
SA;uusi 3469;KM;11993;;Kemiönsaari;Kasnäs;6655008;3243955;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Stone artefacts;Perforated stone tool;Rhombus perforated stone;;Rombimainen reikäkivi;1;;FALSE;kiilleliuske;;;;149;65;29;uusiokäytetty (uusi reikä);KM 11993;22,41593397;59,92752547
SA;uusi 4509;KM;8837;4;Raasepori;Söderby;6655095;3308254;;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Stone artefacts;Stone axe;Stone axe;;Kivikirves;2;;FALSE;harmaa kivilaji;;;;47;41;24;;KM 8837_4;23,56344508;59,96324435
SA;1000003895;KM;25254;;Kirkkonummi;Porkkala;6655402;3356976;;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Stone artefacts;Stone axe;Stone axe;;Kivikirves;1;;FALSE;hiekkakivi;98;70;23;;;;;KM 25254;24,43448476;59,98582153
