Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Category,Type,Subtype,Subtype (Finnish),Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),Photo ID,X,Y,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Subtype 2,Subtype 2 (Finnish),Rock type (Finnish),PhotoID,Length,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Ajoitusperuste,Type (Finnish),Preroman IA,Early Roman IA,Late Roman IA,Migration period,Merovingian period,Viking period,Crusade period,1100-1300,1400-1500,Settlement site,Cremation cemetery,Inhumation cemetery,Stray find,Cairn,Hoard,Other context,Decoration,Wave motif,Grid motif,Cord impression,Decoration elements (Finnish),Wall thickness 1 (mm),Wall thickness 2 (mm),Rim thickness 1 (mm),Rim thickness 2 (mm),Crust,Stone art (Finnish)
SA,Karjala 61,Viipuri,Häyrynmäki,KM,5428,988.0,6737415.0,3599675.0,,False,True,False,True,True,True,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,,True,28.0,19.0,11.0,,,,,KM 5428_988,"28,82397783","60,73443034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,246010004,Savonlinna,Kankaanlaita a,KM,9135,35.0,6876514.0,3616302.0,80,False,False,False,False,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 9135_35,"29,21498006","61,97729515",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,254010002,Sastamala,Uusi-Jaara,KM,9409,130.0,6821756.0,3263541.0,80,False,False,False,True,False,True,False,False,False,False,False,Birch bark tar,Hafting pitch,,Varttamispihka,2.0,False,,,,,,,kaksi yhteensopivaa pientä palaa,KM 9409_130,"22,5640216","61,43146019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,580010014,Parikkala,Kosinonniemi,KM,10084,8.0,6834735.0,3629365.0,70,False,False,False,True,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,True,30.0,10.0,8.0,,,,hampaanjäljet,KM 10084_8,"29,43406205","61,5985212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,605010001,Närpiö,Pörtom-Raineåsen,KM,12545,131.0,6971720.0,3221046.0,"37,8",False,False,False,False,False,False,True,False,False,False,False,Birch bark tar,Hafting pitch,,Varttamispihka,1.0,False,,,,,,,,KM 12545_131,"21,53476633","62,74300306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,18010058,Askola,Taka-Piskulan Ruoksmaa,KM,12931,247.0,6718060.0,3423120.0,30,False,True,True,False,True,False,False,True,False,True,True,Birch bark tar,Chewing pitch,,Purupihka,1.0,True,31.0,11.0,7.0,,,,hampaanjäljet,KM 12931_247,"25,59505609","60,56573385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,18010004,Askola,Tallikäärö,KM,12934,236.0,6710780.0,3423000.0,25,False,False,False,True,False,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,True,20.0,13.0,10.0,,,,,KM 12934_236,"25,59570162","60,50039305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,18010058,Askola,Taka-Piskulan Ruoksmaa,KM,13067,649.0,6718060.0,3423120.0,30,False,True,True,False,True,True,False,True,False,True,True,Birch bark tar,Chewing pitch,,Purupihka,1.0,True,19.0,14.0,9.0,,,,,KM 13067_649,"25,59505609","60,56573385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,18010058,Askola,Taka-Piskulan Ruoksmaa,KM,13303,64.0,6718060.0,3423120.0,30,False,True,True,False,True,True,False,True,False,True,True,Birch bark tar,Chewing pitch,,Purupihka,3.0,False,,,,,,,,KM 13303_64,"25,59505609","60,56573385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,777010025,Suomussalmi,Kalmosärkkä,KM,14830,502.0,7237045.0,3614621.0,199,False,False,True,True,True,True,False,True,True,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,ei mittoja,KM 14830_502,"29,44567113","65,2094768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
